Date,Change - Start,Change - End,#1 Score,#1 Number of times stood up,#1 Number of times phone checked,#1 Time spent mindful (%) ,#2 Score,#2 Number of times stood up,#2 Number of times phone checked,#2 Time spent mindful (%)
2023-02-21,Breakup Mahlagha,Breakup Mahlagha,,,,,5,,13,0.5
2023-02-22,Friendship Mahlagha,,23,,6,2.5,25,,3,0.75
2023-02-23,,,18,,1,0.4,14,,8,1
2023-02-24,,,23,,0,12,,,,
2023-02-27,Mindfulness changed to %,,30,,0,7,33,,1,12
2023-02-28,Calm (night) ,Calm (night) ,6,,5,5,10,,5,7
2023-03-01,,,10,,3,4,25,,9,20
2023-03-02,,,19,,3,20,18,,3,6
2023-03-03,,,20,,0,7,,,,
2023-03-07,"Donnie Darko, Sext Sogol, Sext Farnaz",,3,,15,15,2,,50,20
2023-03-08,Setting intentions,,40,,0,40,25,,1,30
2023-03-09,,,,,,,5,,100,5
2023-03-10,,,30,,3,35,,,,
2023-03-13,,,20,,0,15,7,,26,5
2023-03-14,,,,,,,20,,0,8
2023-03-15,,,25,,0,10,,,,
2023-03-16,Starting with body scan,,,,,,40,,0,25
2023-03-17,,,30,,0,15,,,,
2023-03-18,,Starting with body scan,,,,,,,,
2023-03-21,,,25,,0,8,5,,5,6
2023-03-22,,,20,,2,10,40,,25,0
2023-03-23,,,15,,0,10,,,,
2023-03-27,,,15,,5,12,15,,2,18
2023-03-28,,,20,,2,20,15,,10,30
2023-03-29,,,25,,0,15,5,,40,10
2023-03-30,,,15,,1,15,18,,9,13
2023-03-31,,,25,,0,15,,,,
2023-04-01,,,,,,,,,,
2023-04-02,,,,,,,,,,
2023-04-03,,,30,,1,25,,,,
2023-04-04,,,5,,60,5,16,,20,18
2023-04-05,,,35,,0,25,25,,10,25
2023-04-06,,,,,,,,,,
2023-04-07,,,,,,,,,,
2023-04-08,,,,,,,,,,
2023-04-09,,,,,,,,,,
2023-04-10,,,30,,0,20,20,,6,14
2023-04-11,,,8,,30,5,30,,0,10
2023-04-12,,,15,,8,15,30,,0,20
2023-04-13,,,5,,120,2,30,,0,10
2023-04-14,,,25,,0,10,,,,
2023-04-15,,,,,,,,,,
2023-04-16,,,,,,,,,,
2023-04-17,"Added ""Number of times stood up"".",,30,0,0,20,32,0,0,28
2023-04-18,,,35,0,0,20,28,0,0,25
2023-04-19,,,13,40,10,7,35,0,0,35
2023-04-20,,,25,0,0,15,38,0,0,40
2023-04-21,,,28,0,0,15,,,,
2023-04-22,,,,,,,,,,
2023-04-23,,,,,,,,,,
2023-04-24,,,6,0,500,6,20,0,120,25
2023-04-25,New attitude: the past is past while meditating. ,,15,0,120,10,20,0,0,15
2023-04-26,,,5,0,720,5,25,0,0,18
2023-04-27,,,20,0,0,15,16,0,20,15
2023-04-28,,,25,0,40,14,,,,
2023-04-29,,,,,,,,,,
2023-04-30,,,,,,,,,,
2023-05-01,,,15,0,0,6,16,0,90,18
2023-05-02,,,26,0,0,16,25,0,30,20
2023-05-03,Calculating mindfulness percentage precisely. ,,5,0,90,0,20,30,0,16
2023-05-04,,,15,0,0,7,15,0,60,7
2023-05-05,,,,,,,,,,
2023-05-06,,,,,,,,,,
2023-05-07,,,,,,,,,,
2023-05-08,,,17,0,0,10,10,0,0,7
2023-05-09,,,19,0,0,11,10,30,0,12
2023-05-10,,,15,0,0,6,22,0,0,13
2023-05-11,,,20,0,0,11,2,120,60,1
2023-05-12,,,10,90,0,7,,,,
2023-05-13,,,,,,,,,,
2023-05-14,,,,,,,,,,
2023-05-15,,,18,0,0,10,15,60,0,10
2023-05-16,,,10,0,0,7,22,0,0,18
2023-05-17,,,6,0,30,6,5,0,30,5
2023-05-18,Toning down mindfulness percentage to reflect reality,,5,0,30,5,,,,
2023-05-19,,,,,,,,,,
2023-05-20,,,,,,,,,,
2023-05-21,,,,,,,,,,
2023-05-22,,,,,,,,,,
2023-05-23,,,,,,,,,,
2023-05-24,,,,,,,,,,
2023-05-25,,,,,,,,,,
2023-05-26,,,,,,,,,,
2023-05-27,,,,,,,,,,
2023-05-28,,,,,,,,,,
2023-05-29,,,,,,,,,,
2023-05-30,,,,,,,,,,
2023-05-31,,,,,,,,,,
2023-06-01,,,,,,,,,,
2023-06-02,,,,,,,,,,
2023-06-03,,,,,,,,,,
2023-06-04,,,,,,,,,,
2023-06-05,,,,,,,,,,
2023-06-06,,,,,,,,,,
2023-06-07,,,,,,,,,,
2023-06-08,,,,,,,,,,
2023-06-09,,,,,,,,,,
2023-06-10,,,,,,,,,,
2023-06-11,,,,,,,,,,
2023-06-12,,,,,,,,,,
2023-06-13,,,,,,,,,,
2023-06-14,,,,,,,,,,
2023-06-15,,,,,,,,,,
2023-06-16,,,,,,,,,,
2023-06-17,,,,,,,,,,
2023-06-18,,,,,,,,,,
2023-06-19,,,,,,,,,,
2023-06-20,,,,,,,,,,
2023-06-21,,,,,,,,,,
2023-06-22,,,,,,,,,,
2023-06-23,,,,,,,,,,
2023-06-24,,,,,,,,,,
2023-06-25,,,,,,,,,,
2023-06-26,,,,,,,,,,
2023-06-27,,,,,,,,,,
2023-06-28,,,,,,,,,,
2023-06-29,,,,,,,,,,
2023-06-30,,,,,,,,,,
2023-07-01,,,,,,,,,,
2023-07-02,,,,,,,,,,
2023-07-03,,,,,,,,,,
2023-07-04,,,,,,,,,,
2023-07-05,,,,,,,,,,
2023-07-06,,,,,,,,,,
2023-07-07,,,,,,,,,,
2023-07-08,,,,,,,,,,
2023-07-09,,,,,,,,,,
2023-07-10,,,,,,,,,,
2023-07-11,,,,,,,,,,
2023-07-12,,,,,,,,,,
2023-07-13,,,,,,,,,,
2023-07-14,,,,,,,,,,
2023-07-15,,,,,,,,,,
2023-07-16,,,,,,,,,,
2023-07-17,,,,,,,,,,
2023-07-18,,,,,,,,,,
2023-07-19,,,,,,,,,,
2023-07-20,,,,,,,,,,
2023-07-21,,,,,,,,,,
2023-07-22,,,,,,,,,,
2023-07-23,,,,,,,,,,
2023-07-24,,,,,,,,,,
2023-07-25,,,,,,,,,,
2023-07-26,,,,,,,,,,
2023-07-27,,,,,,,,,,
2023-07-28,,,,,,,,,,
2023-07-29,,,,,,,,,,
2023-07-30,,,,,,,,,,
2023-07-31,,,,,,,,,,
2023-08-01,,,,,,,,,,
2023-08-02,,,,,,,,,,
2023-08-03,,,,,,,,,,
2023-08-04,,,,,,,,,,
2023-08-05,,,,,,,,,,
2023-08-06,,,,,,,,,,
2023-08-07,,,,,,,,,,
2023-08-08,,,,,,,,,,
2023-08-09,,,,,,,,,,
2023-08-10,,,,,,,,,,
2023-08-11,,,,,,,,,,
2023-08-12,,,,,,,,,,
2023-08-13,,,,,,,,,,
2023-08-14,,,,,,,,,,
2023-08-15,,,,,,,,,,
2023-08-16,,,,,,,,,,
2023-08-17,,,,,,,,,,
2023-08-18,,,,,,,,,,
2023-08-19,,,,,,,,,,
2023-08-20,,,,,,,,,,
2023-08-21,,,,,,,,,,
2023-08-22,,,,,,,,,,
2023-08-23,,,,,,,,,,
2023-08-24,,,,,,,,,,
2023-08-25,,,,,,,,,,
2023-08-26,,,,,,,,,,
2023-08-27,,,,,,,,,,
2023-08-28,,,,,,,,,,
2023-08-29,,,,,,,,,,
2023-08-30,,,,,,,,,,
2023-08-31,,,,,,,,,,
2023-09-01,,,,,,,,,,
2023-09-02,,,,,,,,,,
2023-09-03,,,,,,,,,,
2023-09-04,,,,,,,,,,
2023-09-05,,,,,,,,,,
2023-09-06,,,,,,,,,,
2023-09-07,,,,,,,,,,
2023-09-08,,,,,,,,,,
2023-09-09,,,,,,,,,,
2023-09-10,,,,,,,,,,
2023-09-11,,,,,,,,,,
2023-09-12,,,,,,,,,,
2023-09-13,,,,,,,,,,
2023-09-14,,,,,,,,,,
2023-09-15,,,,,,,,,,
2023-09-16,,,,,,,,,,
2023-09-17,,,,,,,,,,
2023-09-18,,,,,,,,,,
2023-09-19,,,,,,,,,,
2023-09-20,,,,,,,,,,
2023-09-21,,,,,,,,,,
2023-09-22,,,,,,,,,,
2023-09-23,,,,,,,,,,
2023-09-24,,,,,,,,,,
2023-09-25,,,,,,,,,,
2023-09-26,,,,,,,,,,
2023-09-27,,,,,,,,,,
2023-09-28,,,,,,,,,,
2023-09-29,,,,,,,,,,
2023-09-30,,,,,,,,,,
2023-10-01,,,,,,,,,,
2023-10-02,,,,,,,,,,
2023-10-03,,,,,,,,,,
2023-10-04,,,,,,,,,,
2023-10-05,,,,,,,,,,
2023-10-06,,,,,,,,,,
2023-10-07,,,,,,,,,,
2023-10-08,,,,,,,,,,
2023-10-09,,,,,,,,,,
2023-10-10,,,,,,,,,,
2023-10-11,,,,,,,,,,
2023-10-12,,,,,,,,,,
2023-10-13,,,,,,,,,,
2023-10-14,,,,,,,,,,
2023-10-15,,,,,,,,,,
2023-10-16,,,,,,,,,,
2023-10-17,,,,,,,,,,
2023-10-18,,,,,,,,,,
2023-10-19,,,,,,,,,,
2023-10-20,,,,,,,,,,
2023-10-21,,,,,,,,,,
2023-10-22,,,,,,,,,,
2023-10-23,,,,,,,,,,
2023-10-24,,,,,,,,,,
2023-10-25,,,,,,,,,,
2023-10-26,,,,,,,,,,
2023-10-27,,,,,,,,,,
2023-10-28,,,,,,,,,,
2023-10-29,,,,,,,,,,
2023-10-30,,,,,,,,,,
2023-10-31,,,,,,,,,,
2023-11-01,,,,,,,,,,
2023-11-02,,,,,,,,,,
2023-11-03,,,,,,,,,,
2023-11-04,,,,,,,,,,
2023-11-05,,,,,,,,,,
2023-11-06,,,,,,,,,,
2023-11-07,,,,,,,,,,
2023-11-08,,,,,,,,,,
2023-11-09,,,,,,,,,,
2023-11-10,,,,,,,,,,
2023-11-11,,,,,,,,,,
2023-11-12,,,,,,,,,,
2023-11-13,,,,,,,,,,
2023-11-14,,,,,,,,,,
2023-11-15,,,,,,,,,,
2023-11-16,,,,,,,,,,
2023-11-17,,,,,,,,,,
2023-11-18,,,,,,,,,,
2023-11-19,,,,,,,,,,
2023-11-20,,,,,,,,,,
2023-11-21,,,,,,,,,,
2023-11-22,,,,,,,,,,
2023-11-23,,,,,,,,,,
2023-11-24,,,,,,,,,,
2023-11-25,,,,,,,,,,
2023-11-26,,,,,,,,,,
2023-11-27,,,,,,,,,,
2023-11-28,,,,,,,,,,
2023-11-29,,,,,,,,,,
2023-11-30,,,,,,,,,,
2023-12-01,,,,,,,,,,
2023-12-02,,,,,,,,,,
2023-12-03,,,,,,,,,,
2023-12-04,,,,,,,,,,
2023-12-05,,,,,,,,,,
2023-12-06,,,,,,,,,,
2023-12-07,,,,,,,,,,
2023-12-08,,,,,,,,,,
2023-12-09,,,,,,,,,,
2023-12-10,,,,,,,,,,
2023-12-11,,,,,,,,,,
2023-12-12,,,,,,,,,,
2023-12-13,,,,,,,,,,
2023-12-14,,,,,,,,,,
2023-12-15,,,,,,,,,,
2023-12-16,,,,,,,,,,
