"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.squareone.ca/resource-centres","text/html; charset=UTF-8","200","OK","Indexable","","Helpful Articles for Home Insurance | Square One","48","437","Square One had developed several resource centres to help you to understand your home insurance policy and to protect your family and home.","139","884","","0","Helpful articles on more than insurance","39","","0","Choose from hundreds of articles","32","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/resource-centres","","","","","","76043","1147","194","5.912","82.158","Easy","9.466","0","","276","259","0","98.850","47","43","0","4","4","0","","","","","4535ef45e7f3e1348c620432941c7caa","1.450","","","","","1.1","https://www.squareone.ca/resource-centres","2023-05-24 14:50:51"
"https://www.squareone.ca/wp-includes/css/classic-themes.min.css?ver=1","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","189","0","","","","","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.187","Wed, 19 Apr 2023 02:39:50 GMT","","","","1.1","https://www.squareone.ca/wp-includes/css/classic-themes.min.css?ver=1","2023-05-24 14:50:54"
"https://www.squareone.ca/transparency","text/html; charset=UTF-8","200","OK","Indexable","","Explained: Home insurance exclusions, deductibles, and requirements","67","620","Chances are, unless you work in insurance or have a law degree, the small print on most home insurance policies don’t make a whole lot of sense. That's why we're explaining everything you need to know about your home insurance policy.","234","1458","","0","Transparency and Your Home Insurance Policy","43","","0","What is required of you?","24","Exclusions","10","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/transparency","","","","","","71611","3590","484","7.417","74.127","Fairly Easy","30.302","1","","329","259","0","98.850","40","29","0","5","5","0","","","","","84591a506b3ffea18f786a8209295b7e","0.828","","","","","1.1","https://www.squareone.ca/transparency","2023-05-24 14:50:54"
"https://www.squareone.ca/support/claims-process","text/html; charset=UTF-8","200","OK","Indexable","","The Claims Process | Square One","31","297","Accidents happen. That's why it's important your home insurance provider treats you fairly. Learn about Square One's claims process.","132","823","","0","The claims process","18","","0","Report your claims","18","Work with your adjuster","23","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/support/claims-process","","","","","","52729","522","85","6.141","78.564","Fairly Easy","7.204","1","","265","259","0","98.850","28","25","0","4","4","0","","","","","f4ec93dda4985667d9f78c6737043b45","1.454","","","","","1.1","https://www.squareone.ca/support/claims-process","2023-05-24 14:50:54"
"https://www.squareone.ca/reviews","text/html; charset=UTF-8","200","OK","Indexable","","Home Insurance Reviews and Testimonials | Square One","52","503","Check out some of the great things that customers have had to say about Square One. Read reviews customers have left for us about our home insurance options, customer service and more. And, watch firsthand video testimonials featuring real customers talking about their claims experience with Square One.","304","1916","","0","42,012 customer reviews and counting","36","","0","A+ Rated by the BBB","19","Write a review about us","23","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/reviews","","","","","","93090","1276","247","5.166","83.510","Easy","8.740","1","","349","259","0","98.850","38","33","0","15","15","0","","","","","ae35549bcb9624c5af6f0de44b9b80d9","1.566","","","","","1.1","https://www.squareone.ca/reviews","2023-05-24 14:50:54"
"https://www.squareone.ca/service-concerns","text/html; charset=UTF-8","200","OK","Indexable","","Service Concerns | Square One","29","274","Delivering excellent customer service is important to us. If your expectations aren’t met, then we want to know. You have our commitment that we will investigate your concern and do our best to resolve it.","205","1252","","0","Service concerns","16","","0","Voice your concern","18","Speak with the divisional head","30","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/service-concerns","","","","","","51373","651","128","5.086","64.831","Normal","9.538","1","","264","259","0","98.850","27","24","0","5","5","0","","","","","dbce69f1af2d184a9c8f83bc7be522ba","1.402","","","","","1.1","https://www.squareone.ca/service-concerns","2023-05-24 14:50:54"
"https://www.squareone.ca/sales/logout","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","89","0","","","","","0.000","1","","260","260","0","99.240","0","0","0","0","0","0","","","","","","0.079","","https://www.squareone.ca/sales/","HTTP Redirect","","1.1","https://www.squareone.ca/sales/logout","2023-05-24 14:50:55"
"https://www.squareone.ca/resource-centres/home-personal-safety","text/html; charset=UTF-8","200","OK","Indexable","","Home and Personal Safety Resource Centre | Square One","53","510","Square One prepared this resource centre to provide you with useful tips to protect your family and your home.","110","680","","0","Home and personal safety resource centre","40","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/resource-centres/home-personal-safety","","","","","","70173","1469","180","8.161","69.780","Normal","13.316","1","","38","38","0","14.500","65","61","0","4","4","0","","","","","831871dae2640aba05509c63379f80dc","1.810","","","","","1.1","https://www.squareone.ca/resource-centres/home-personal-safety","2023-05-24 14:50:54"
"https://www.squareone.ca/policy-types","text/html; charset=UTF-8","200","OK","Indexable","","Renters, Condo + Other Home Insurance Policies | Square One","59","551","Square One offers a wide range of home insurance types. Whether you're looking for coverage on your house, condo, rental suite, cottage or beyond, Square One has a policy that will fit your specific needs.","205","1254","","0","We have the right policy type to meet your needs","48","","0","Policies offered by Square One","30","Policies promoted by Square One","31","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/policy-types","","","","","","60856","790","129","6.124","66.330","Normal","9.095","1","","263","259","0","98.850","53","39","0","4","4","0","","","","","4308eab7b9afef14a23c8e7e76063bc2","1.184","","","","","1.1","https://www.squareone.ca/policy-types","2023-05-24 14:50:55"
"https://www.squareone.ca/online-home-insurance-quote","text/html; charset=UTF-8","200","OK","Indexable","","Online Home Insurance Quote In 5 Minutes | Square One","53","500","For as little as $12/month, you can get personalized home insurance from Square One. Get an online quote in 5 minutes or call 1.855.331.6933 to speak with a licensed agent.","172","1071","","0","Low cost home insurance starting from $12/month","47","","0","Get an online home insurance quote in just 5 minutes.","53","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/online-home-insurance-quote","","","","","","55652","603","96","6.281","71.666","Fairly Easy","7.717","1","","771","259","0","98.850","34","30","0","4","4","0","","","","","f0458d03fa8dff9cacac5b5f4219dc43","0.810","","","","","1.1","https://www.squareone.ca/online-home-insurance-quote","2023-05-24 14:50:55"
"https://www.squareone.ca/about-us","text/html; charset=UTF-8","200","OK","Indexable","","About Square One | Online Home Insurance Provider","49","465","Learn about Square One's current team members, its board of directors and its key suppliers. This page will always be updated with a current list of available openings and with details on how you can join the Square One team.","225","1385","","0","Changing the way you think about insurance","42","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/about-us","","","","","","54569","550","83","6.627","65.826","Normal","7.558","1","","262","259","0","98.850","33","27","0","11","11","0","","","","","b1b9c9d3f1a9388073a9a30dcdf98743","0.892","","","","","1.1","https://www.squareone.ca/about-us","2023-05-24 14:50:55"
"https://www.squareone.ca/resource-centres/condo-owner","text/html; charset=UTF-8","200","OK","Indexable","","Condo Owner Resource Centre | Square One","40","392","This resource centre highlights the unique considerations of condo owners, and offers tips and advice to address them.","118","733","","0","Condo owner resource centre","27","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/resource-centres/condo-owner","","","","","","52181","445","67","6.642","61.121","Normal","6.766","1","","12","12","0","4.580","38","34","0","4","4","0","","","","","572c129de27c687f2e6f40b376aa82f4","1.131","","","","","1.1","https://www.squareone.ca/resource-centres/condo-owner","2023-05-24 14:50:55"
"https://www.squareone.ca/support/common-insurance-questions","text/html; charset=UTF-8","200","OK","Indexable","","Common Home Insurance Questions | Claims, Coverage and More | Square One","72","707","Get the answers to some common questions about home and renters insurance, claims, coverage, and regulations applying to Square One and its underwriter. Also learn about aspects that may impact your premium or why homeowners insurance is important.","248","1600","","0","Common insurance questions","26","","0","General questions","17","Coverage questions","18","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/support/common-insurance-questions","","","","","","86307","4932","616","8.006","63.678","Normal","35.541","1","","272","259","0","98.850","60","40","0","6","6","0","","","","","682043e0f96b9fa170bcf08cfa467cb8","0.881","","","","","1.1","https://www.squareone.ca/support/common-insurance-questions","2023-05-24 14:50:56"
"https://www.squareone.ca/about-us/experts","text/html; charset=UTF-8","200","OK","Indexable","","Insurance and Industry Experts | Square One","43","392","Square One strives to create and share the most up-to-date, accurate content. Meet the industry experts that review our articles for accuracy.","142","870","","0","Experts","7","","0","Insurance experts","17","Independent industry experts","28","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/about-us/experts","","","","","","77753","2157","313","6.891","49.231","Hard","19.328","1","","42","39","0","14.890","33","28","0","23","23","0","","","","","241d69e60a1bee7bbeceff9fc9865da7","1.118","","","","","1.1","https://www.squareone.ca/about-us/experts","2023-05-24 14:50:56"
"https://www.squareone.ca/careers","text/html; charset=UTF-8","200","OK","Indexable","","Career Opportunities | Square One","33","305","Looking to begin or continue your career in insurance? Come work at Square One, the most progressive and innovative insurance providers in North America.","153","964","","0","Careers at Square One","21","","0","Why work for Square One?","24","How to apply","12","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/careers","","","","","","51487","656","108","6.074","72.093","Fairly Easy","8.916","1","","274","259","0","98.850","40","26","0","4","4","0","","","","","bd06497f017ed862ced987f8fa4bdb0e","0.906","","","","","1.1","https://www.squareone.ca/careers","2023-05-24 14:50:56"
"https://www.squareone.ca/home/ontario","text/html; charset=UTF-8","200","OK","Indexable","","Home Insurance In Ontario From $12/Month | Square One","53","512","Buy home insurance in Ontario for as little as $12/month. Get a free online home insurance quote in 5 minutes from Square One.","126","788","","0","Ontario home insurance from $12/month","37","","0","Get an online home insurance quote in 5 minutes.","48","home insurance customers love and trust","39","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/home/ontario","","","","","","109430","2931","452","6.485","74.926","Fairly Easy","16.276","1","","103","96","0","36.640","47","34","0","29","29","0","","","","","659b890ffc0feec818cd95f70d7dff17","1.675","","","","","1.1","https://www.squareone.ca/home/ontario","2023-05-24 14:50:56"
"https://www.squareone.ca/terms-of-use","text/html; charset=UTF-8","200","OK","Indexable","","Terms of Website Use | Square One","33","317","Read the terms of use for the Square One website. Any questions? Call us at 1.855.331.6933 or send us an email.","111","696","","0","Terms of Use","12","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/terms-of-use","","","","","","55226","1484","183","8.109","60.188","Normal","17.689","1","","260","259","0","98.850","29","24","0","4","4","0","","","","","87d8966abb7196309bf1f80a8678e736","1.115","","","","","1.1","https://www.squareone.ca/terms-of-use","2023-05-24 14:50:57"
"https://www.squareone.ca/support","text/html; charset=UTF-8","200","OK","Indexable","","Support + Advice from Square One Insurance","42","400","Manage or update your policy or claim, use Square One's free insurance tools, and access an extensive resource centres for insurance basics and advice.","151","937","","0","Support (and advice) when you need it","37","","0","Manage your claims","18","Manage your policies","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/support","","","","","","51449","656","103","6.369","75.276","Fairly Easy","8.959","1","","261","259","0","98.850","37","28","0","4","4","0","","","","","9cfdd377c3e912b8c0d6523e0122c8e9","0.853","","","","","1.1","https://www.squareone.ca/support","2023-05-24 14:50:57"
"https://www.squareone.ca/sales/account","text/html; charset=utf-8","200","OK","Indexable","","Square One Insurance Services","29","277","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","8600","0","","","","","0.000","1","","260","260","0","99.240","0","0","0","0","0","0","","","","","2ef6fe708e3313b9ade26c535465646","0.071","","","","","1.1","https://www.squareone.ca/sales/account","2023-05-24 14:50:58"
"https://www.squareone.ca/contact-us","text/html; charset=UTF-8","200","OK","Indexable","","Contact Us | Home, Renter + Condo Insurance | Square One","56","524","There's are several ways you can reach our team at Square One, including phone, email, online chat, fax and mail. Get in touch today and let us know how we can help with your home insurance!","190","1183","","0","Contact us the way you want","27","","0","Email","5","Mail","4","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/contact-us","","","","","","107455","1052","200","5.260","43.394","Hard","7.854","1","","263","259","0","98.850","30","25","0","23","5","0","","","","","5d94e415843633da2105a047692933f4","0.919","","","","","1.1","https://www.squareone.ca/contact-us","2023-05-24 14:50:57"
"https://www.squareone.ca/resource-centres/landlord","text/html; charset=UTF-8","200","OK","Indexable","","Landlord Resource Centre | Square One","37","350","This landlord resource centre provides tips to help you protect the investment you've made in your rental property (or rental suite in your home).","146","880","","0","Landlord resource centre","24","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/resource-centres/landlord","","","","","","52759","489","60","8.150","66.213","Normal","6.959","1","","11","11","0","4.200","38","34","0","4","4","0","","","","","93d31ec269deb8404a222e563d46379d","1.346","","","","","1.1","https://www.squareone.ca/resource-centres/landlord","2023-05-24 14:50:57"
"https://www.squareone.ca/privacy-policy","text/html; charset=UTF-8","200","OK","Indexable","","Privacy Policy | Square One","27","242","Your privacy is very important to us. Learn about Square One's privacy policy and how your privacy is protected.","112","688","","0","Privacy Policy","14","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/privacy-policy","","","","","","52841","976","158","6.177","53.729","Fairly Hard","13.029","1","","262","259","0","98.850","27","24","0","11","11","0","","","","","cf365f24cfe6166aec322e6eb478da68","1.352","","","","","1.1","https://www.squareone.ca/privacy-policy","2023-05-24 14:50:58"
"https://www.squareone.ca/resource-centres/insurance-basics","text/html; charset=UTF-8","200","OK","Indexable","","Insurance Basics and Advice | Square One","40","372","Learn about the basics of home insurance and find tips to protect your home from all types of damages and risks.","112","700","","0","Insurance basics + advice","25","","0","Home insurance basics","21","Common coverages","16","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/resource-centres/insurance-basics","","","","","","59797","558","105","5.314","61.351","Normal","6.864","1","","39","35","0","13.360","76","66","0","6","6","0","","","","","e8fe049a2ac2557dbea4e07bd6f0df83","0.952","","","","","1.1","https://www.squareone.ca/resource-centres/insurance-basics","2023-05-24 14:50:58"
"https://www.squareone.ca/resource-centres/home-improvement","text/html; charset=UTF-8","200","OK","Indexable","","Home Improvement Resource Centre | Square One","45","451","If you're thinking of making improvements to your home, be sure to review the articles in this resource centre.","111","668","","0","Home improvement resource centre","32","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/resource-centres/home-improvement","","","","","","66373","1334","169","7.893","74.396","Fairly Easy","12.865","1","","36","36","0","13.740","57","53","0","4","4","0","","","","","6cf58b71e8faa8ff7d5c34710e4352e4","1.816","","","","","1.1","https://www.squareone.ca/resource-centres/home-improvement","2023-05-24 14:50:57"
"https://www.squareone.ca/sales/images/logos/square-one-logo.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4683","0","","","","","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.028","Wed, 19 Apr 2023 02:39:47 GMT","","","","1.1","https://www.squareone.ca/sales/images/logos/square-one-logo.svg","2023-05-24 14:50:59"
"https://www.squareone.ca/","text/html; charset=UTF-8","200","OK","Indexable","","Home Insurance Policies From $12/Month | Square One","51","495","For as little as $12/month, you can get personalized home insurance from Square One. Get an online quote now in 5 minutes or call 1.855.331.6933 to speak with a licensed agent.","176","1101","","0","Get a personalized home insurance quote from $12/month","54","","0","home insurance customers love and trust","39","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/","","","","","","84731","1578","254","6.213","81.617","Easy","11.442","1","","784","260","0","99.240","35","30","0","4","4","0","","","","","c095474f09492e86808496c0d09c2cbd","1.810","","","","","1.1","https://www.squareone.ca/","2023-05-24 14:50:59"
"https://www.squareone.ca/home/alberta","text/html; charset=UTF-8","200","OK","Indexable","","Home Insurance In Alberta From $12/Month | Square One","53","511","Buy home insurance in Alberta for as little as $12/month. Get a free online home insurance quote in 5 minutes from Square One.","126","786","","0","Alberta home insurance from $12/month","37","","0","Get an online home insurance quote in 5 minutes.","48","home insurance customers love and trust","39","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/home/alberta","","","","","","86693","1652","258","6.403","80.452","Easy","11.642","1","","98","96","0","36.640","39","32","0","4","4","0","","","","","fa48a2574bcc109531476b86f52299be","2.119","","","","","1.1","https://www.squareone.ca/home/alberta","2023-05-24 14:50:58"
"https://www.squareone.ca/site-map","text/html; charset=UTF-8","200","OK","Indexable","","Site map | Square One","21","199","View Square One's sitemap to view the websites different pages. Still can't find what you're looking for? Send an email or call us at 1.855.331.6933","148","898","","0","Site map","8","","0","Main webpages","13","Regional webpages","17","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/site-map","","","","","","64678","586","195","3.005","19.137","Very Hard","8.118","1","","259","259","0","98.850","201","177","0","6","6","0","","","","","320ef5a5e64f9e19ceb52474989697f0","1.403","","","","","1.1","https://www.squareone.ca/site-map","2023-05-24 14:50:59"
"https://www.squareone.ca/sales/css/soiPublic.1681871987.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","58653","0","","","","","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.033","Wed, 19 Apr 2023 02:39:47 GMT","","","","1.1","https://www.squareone.ca/sales/css/soiPublic.1681871987.css","2023-05-24 14:51:01"
"https://www.squareone.ca/why-us","text/html; charset=UTF-8","200","OK","Indexable","","Why Us For Home Insurance | Square One","38","370","Save time and money by customizing your policy to meet your individual needs, and rest easy with included coverage against fires, break-ins, burst pipes and more. These are just a few of the many ways Square One is different from other traditional home insurance providers.","273","1686","","0","Why should you switch to us?","28","","0","42,012 delighted online reviews and counting","44","Want to learn more about Square One?","36","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/why-us","","","","","","57035","792","103","7.689","72.985","Fairly Easy","9.514","1","","260","259","0","98.850","37","33","0","6","6","0","","","","","66a79ee3d95510c259fbe46397f1e5ff","1.010","","","","","1.1","https://www.squareone.ca/why-us","2023-05-24 14:51:01"
"https://www.squareone.ca/home/bc","text/html; charset=UTF-8","200","OK","Indexable","","Home Insurance In BC From $12/Month | Square One","48","471","Buy home insurance in BC for as little as $12/month. Get a free online home insurance quote in 5 minutes from Square One.","121","759","","0","BC home insurance from $12/month","32","","0","Get an online home insurance quote in 5 minutes.","48","home insurance customers love and trust","39","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/home/bc","","","","","","88143","1672","265","6.309","79.856","Fairly Easy","11.731","1","","99","97","0","37.020","39","32","0","4","4","0","","","","","f137dd82a32fe5abeca8035dc3235305","2.222","","","","","1.1","https://www.squareone.ca/home/bc","2023-05-24 14:50:59"
"https://www.squareone.ca/sales/images/logos/square-one-logo-white.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4445","0","","","","","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.034","Wed, 19 Apr 2023 02:39:53 GMT","","","","1.1","https://www.squareone.ca/sales/images/logos/square-one-logo-white.svg","2023-05-24 14:51:02"
"https://www.squareone.ca/home","text/html; charset=UTF-8","200","OK","Indexable","","Home Insurance From $12/Month | Square One","42","420","Protect yourself with Canada’s first customizable home insurance policy. With Square One, you choose what to insure and how much to insure it for.","146","913","","0","Get a personalized home insurance quote for as little as $12/month","66","","0","Home insurance that customers love and trust","44","Six reasons why you'll love Square One","38","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/home","","","","","","98059","2772","425","6.522","67.638","Normal","18.020","1","","439","259","0","98.850","42","36","0","4","4","0","","","","","1f2d6c586b67763a866ad0c87b6d016f","2.391","","","","","1.1","https://www.squareone.ca/home","2023-05-24 14:50:59"
"https://www.squareone.ca/sales/js/soi/deferLoadingAnalytics.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","536","0","","","","","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.027","Wed, 19 Apr 2023 02:39:46 GMT","","","","1.1","https://www.squareone.ca/sales/js/soi/deferLoadingAnalytics.js","2023-05-24 14:51:02"
"https://www.squareone.ca/resource-centres/home-buying-selling-moving","text/html; charset=UTF-8","200","OK","Indexable","","Home Buying, Selling and Moving Resources | Square One","54","512","Are you buying or selling a home? Maybe you're moving into a new home? Whatever the case may be, Square One provides a range of tips to help you.","145","918","","0","Home buying, selling and moving resource centre","47","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.squareone.ca/resource-centres/home-buying-selling-moving","","","","","","57753","745","96","7.760","77.793","Fairly Easy","8.808","1","","1","1","0","0.380","46","42","0","4","4","0","","","","","f0d085df39d49c5622fb61d694e65d01","1.660","","","","","1.1","https://www.squareone.ca/resource-centres/home-buying-selling-moving","2023-05-24 14:51:00"
